Income,Recency,Age,TotalSpendings,Children,MonthEnrollment
24480.0,46,34,102,1,23
51369.0,84,39,576,1,27
50898.0,88,59,859,2,24
27038.0,64,49,107,0,28
30833.0,33,64,28,2,18
62187.0,49,58,1283,0,18
27255.0,3,31,37,1,14
66334.0,82,59,1161,1,21
71113.0,95,58,835,1,13
60000.0,57,39,1277,1,25
78618.0,87,58,2153,0,28
29548.0,52,45,29,1,17
36143.0,33,34,19,1,10
75276.0,2,50,1040,0,28
92910.0,42,29,1795,0,9
65991.0,21,39,971,1,28
7500.0,59,39,61,0,26
18589.0,89,46,75,0,24
53359.0,4,39,257,2,20
75825.0,40,39,2209,0,27
23559.0,87,42,79,1,18
77298.0,46,36,969,1,14
54348.0,51,62,90,2,7
43482.0,83,49,88,3,14
66951.0,46,27,1117,0,14
18890.0,5,31,35,0,26
42011.0,46,37,189,1,22
15287.0,60,36,31,1,27
69674.0,46,47,845,2,20
60714.0,56,59,957,0,24
83003.0,18,50,1674,0,22
55212.0,65,46,1182,1,26
72099.0,18,41,1188,0,27
50737.0,61,60,99,1,20
54803.0,65,46,693,1,29
42373.0,83,41,163,2,17
27213.0,19,43,70,1,29
23616.0,76,33,79,1,26
30096.0,30,32,45,1,8
7500.0,96,29,36,1,23
56796.0,24,46,1001,1,23
38988.0,90,43,348,3,29
33183.0,46,40,120,1,11
41644.0,67,43,31,2,8
55842.0,19,38,518,1,8
65104.0,4,39,1053,1,14
60093.0,92,41,735,1,19
36550.0,74,37,577,1,23
21918.0,37,46,33,1,14
34176.0,12,27,89,1,8
62551.0,27,62,421,0,14
66835.0,21,69,1033,0,16
25271.0,45,32,50,1,25
69661.0,80,35,834,0,8
75922.0,60,47,1295,0,13
79761.0,32,57,605,1,15
29938.0,52,30,26,1,15
30899.0,35,41,33,1,27
61905.0,2,40,231,1,11
38361.0,74,46,137,1,13
16626.0,76,44,68,2,12
23976.0,68,31,66,1,13
42670.0,12,23,241,0,21
12571.0,86,39,53,1,12
54432.0,37,65,38,3,20
68655.0,95,27,1538,0,29
37717.0,31,37,25,1,26
51479.0,67,48,494,2,25
48178.0,69,40,254,2,27
75865.0,73,72,1242,0,10
18492.0,75,33,10,1,7
20130.0,99,41,34,0,10
89572.0,44,49,2059,0,28
66664.0,78,33,1289,0,28
80124.0,47,52,1495,0,7
33812.0,86,30,133,1,26
79941.0,72,39,984,0,7
70666.0,29,67,1076,0,13
50388.0,3,58,372,1,8
47916.0,72,55,606,1,26
34554.0,43,56,55,1,10
65846.0,68,70,1120,0,20
30992.0,83,39,43,1,21
62998.0,10,63,463,1,16
86111.0,73,53,1385,0,21
35688.0,94,42,211,3,29
78497.0,44,64,978,0,13
31353.0,24,38,31,2,13
40637.0,72,50,38,2,18
38590.0,65,44,22,1,20
7500.0,54,42,57,1,13
31686.0,31,51,17,2,7
38097.0,70,45,184,2,27
22070.0,11,45,67,1,15
29672.0,6,50,25,2,22
34421.0,81,41,30,1,18
44300.0,65,50,42,2,19
31615.0,82,39,51,1,22
46098.0,86,40,120,2,29
83664.0,57,47,1173,2,20
30351.0,19,41,46,1,19
75072.0,83,53,1073,1,24
46310.0,99,39,309,1,25
42429.0,99,42,67,1,11
79593.0,70,42,1366,0,8
49096.0,15,51,187,2,16
23957.0,47,40,68,1,27
23228.0,91,31,121,1,12
51650.0,81,39,191,1,8
46014.0,21,41,541,2,24
52195.0,2,37,17,3,8
73687.0,8,25,1627,0,14
37760.0,20,69,317,0,29
32414.0,11,31,52,0,18
55951.0,62,63,1374,1,29
42386.0,43,29,100,1,24
62187.0,38,46,636,1,10
27421.0,14,61,324,0,25
10245.0,32,44,41,1,20
43795.0,11,47,492,1,15
66465.0,1,60,1485,1,22
75433.0,28,26,1188,1,9
42387.0,42,26,684,1,27
84618.0,96,50,1672,0,14
33454.0,32,30,169,1,20
21994.0,4,58,22,1,25
82582.0,54,38,1617,0,7
75251.0,34,43,1890,0,29
29440.0,95,55,56,2,17
51813.0,37,43,63,2,21
33456.0,58,50,36,2,9
28249.0,80,54,43,0,7
66973.0,98,26,1282,0,20
79930.0,72,43,1753,0,29
64961.0,97,57,1009,1,25
22804.0,75,44,26,1,18
57912.0,34,50,916,1,10
69759.0,38,49,1029,0,15
62499.0,0,36,222,1,13
23442.0,71,28,27,1,25
30507.0,29,55,343,0,22
56223.0,72,67,156,1,13
57959.0,71,60,868,1,20
37406.0,18,35,17,1,15
62503.0,40,59,973,1,23
78825.0,35,51,895,0,28
55614.0,85,71,682,0,14
65324.0,0,61,544,1,12
40548.0,31,45,120,1,27
70287.0,30,49,1093,0,21
27938.0,31,27,29,1,9
26304.0,5,46,16,1,19
89058.0,18,55,850,0,25
32557.0,13,48,80,1,11
59809.0,36,39,877,2,27
61010.0,57,63,1021,1,27
64497.0,17,61,1804,1,28
77972.0,18,61,1101,0,10
70951.0,66,30,1198,0,20
69508.0,48,35,1135,1,26
37717.0,31,37,25,1,26
72940.0,13,45,981,0,19
66313.0,86,52,770,1,16
79946.0,19,49,1478,0,8
68627.0,45,33,825,0,24
38643.0,45,37,49,2,14
79530.0,64,55,1348,0,20
30822.0,92,46,51,1,19
33581.0,38,46,17,2,24
35688.0,94,42,211,3,29
46923.0,90,28,369,1,29
48686.0,8,62,20,3,13
51529.0,14,66,467,1,16
23295.0,72,56,20,0,18
70165.0,60,66,926,0,16
38415.0,91,37,44,2,24
55563.0,22,37,43,1,9
82800.0,23,69,1315,0,26
10979.0,34,26,30,0,8
67353.0,37,45,913,1,13
23718.0,76,39,81,1,16
20559.0,88,30,53,1,22
35790.0,54,38,72,1,24
88194.0,19,36,1274,1,10
65031.0,29,56,863,1,22
29760.0,87,30,165,1,29
81361.0,18,28,778,0,11
38557.0,17,37,145,1,25
71488.0,87,50,559,0,23
61331.0,42,57,632,2,22
92859.0,46,23,2077,0,27
65747.0,96,46,460,1,10
80317.0,64,60,1231,0,17
26091.0,84,58,89,2,11
46854.0,81,42,263,2,10
63887.0,38,53,1245,1,28
73455.0,98,47,2088,0,15
75702.0,77,48,1148,2,29
80124.0,47,52,1495,0,7
31788.0,15,32,60,1,10
29315.0,55,55,48,2,9
44319.0,18,40,37,2,9
35246.0,53,57,62,2,9
58821.0,44,59,728,1,15
80950.0,44,54,1213,0,22
70893.0,42,39,1508,0,23
40464.0,78,62,630,1,24
29999.0,22,29,160,1,23
68462.0,6,46,1670,0,25
35684.0,66,31,30,1,9
55707.0,91,62,428,1,13
50520.0,25,57,135,1,12
56937.0,81,34,906,1,29
41124.0,41,38,506,1,27
87195.0,35,56,1097,0,8
68126.0,40,24,1820,0,26
49967.0,4,57,306,1,18
70356.0,20,70,1706,0,26
80067.0,82,61,1600,0,16
86718.0,20,61,1270,0,24
69142.0,50,63,535,1,7
41443.0,79,38,482,1,9
62745.0,89,50,1117,1,22
102692.0,5,41,1112,0,21
77882.0,29,34,818,0,9
82497.0,32,35,1919,0,27
62204.0,38,55,946,2,28
52614.0,63,40,990,1,25
63810.0,45,49,1371,1,26
66426.0,14,54,1377,1,15
38823.0,56,66,114,1,29
51012.0,86,69,209,0,21
91065.0,33,34,1474,0,23
67309.0,76,48,1082,2,24
31880.0,13,45,15,1,27
59354.0,53,63,310,2,14
41850.0,51,35,96,2,25
37760.0,20,69,317,0,29
68657.0,4,69,1196,0,23
32474.0,0,48,11,2,8
40246.0,68,38,13,1,25
26326.0,12,39,18,0,16
56046.0,9,50,692,0,24
38620.0,56,52,318,0,20
56129.0,65,62,660,1,19
55375.0,3,38,162,1,15
44794.0,99,49,65,1,7
44551.0,24,61,285,1,17
81975.0,2,53,1588,1,24
14849.0,39,39,65,1,18
63381.0,78,55,1005,1,27
14515.0,71,35,96,1,26
65808.0,1,44,272,2,8
20518.0,58,27,25,1,8
28457.0,96,63,205,0,27
59432.0,88,53,663,1,21
26646.0,26,31,53,1,11
30351.0,19,41,46,1,19
63033.0,82,56,1102,0,14
17323.0,38,28,46,0,27
38620.0,56,52,318,0,20
48948.0,53,72,902,0,23
82384.0,55,60,1957,0,26
69096.0,4,57,653,1,16
23626.0,84,45,43,1,8
30096.0,30,32,45,1,8
41883.0,13,27,312,1,22
46344.0,28,43,429,1,25
60199.0,49,37,18,3,16
28718.0,78,33,57,1,18
51148.0,38,42,315,2,23
29604.0,88,27,53,1,13
67546.0,90,27,2126,0,29
18701.0,95,51,44,2,19
35388.0,20,27,32,1,22
77457.0,85,68,1157,0,10
40321.0,59,43,102,2,18
64795.0,23,44,680,1,24
35178.0,10,44,59,1,24
84835.0,0,45,1190,0,7
65073.0,65,72,900,0,17
19986.0,74,30,22,1,14
74293.0,66,22,1127,0,8
43824.0,18,44,186,2,28
15345.0,51,31,47,1,29
48006.0,55,50,41,2,7
10404.0,52,26,43,1,8
28691.0,56,26,34,1,18
30279.0,13,26,37,1,25
24027.0,7,39,48,1,19
67911.0,63,66,976,1,8
81217.0,77,26,1157,0,18
54058.0,56,39,662,1,19
65665.0,77,39,945,1,13
36443.0,9,54,138,2,23
71367.0,24,56,777,0,17
81169.0,47,40,2089,0,21
77863.0,20,57,1291,0,14
65316.0,65,53,260,2,21
19514.0,47,47,69,2,12
44989.0,26,41,369,1,28
61996.0,27,38,1230,1,24
45207.0,64,41,215,2,26
62466.0,13,45,889,1,12
76140.0,57,67,1348,0,8
45906.0,20,51,486,1,20
98777.0,23,55,2008,0,11
29187.0,43,47,34,1,20
77353.0,38,35,670,1,13
38946.0,84,60,257,1,15
66476.0,99,39,689,1,22
41335.0,24,47,187,1,13
67432.0,69,42,1335,1,22
35523.0,8,34,66,1,15
74985.0,8,38,1869,0,28
30467.0,8,43,24,1,10
62847.0,45,70,1612,0,24
80995.0,83,57,1482,1,20
81698.0,4,66,1008,0,14
16529.0,23,31,22,1,10
44602.0,35,46,292,2,11
39922.0,30,32,156,1,23
43462.0,50,63,240,2,28
48799.0,9,52,331,1,14
24762.0,16,43,86,1,11
47821.0,54,48,47,2,15
37087.0,50,41,401,1,17
39453.0,64,32,55,1,9
55239.0,59,44,779,1,18
61794.0,74,54,611,1,16
82025.0,76,32,1187,0,20
69882.0,94,50,1478,0,14
55282.0,9,45,235,1,13
53700.0,94,63,694,1,29
29103.0,38,30,48,1,29
59041.0,25,42,96,2,8
46734.0,86,49,223,3,15
40233.0,84,40,149,1,15
13084.0,29,63,29,0,14
82576.0,66,56,1910,0,29
47570.0,3,66,121,2,20
79689.0,65,39,1315,0,20
18988.0,43,31,16,1,8
72190.0,79,50,1947,0,23
44794.0,99,49,65,1,7
89891.0,17,24,836,0,21
66373.0,57,37,606,2,19
82224.0,83,51,902,0,12
72258.0,28,44,1525,1,16
55267.0,28,58,405,1,15
91820.0,72,29,1497,0,14
22063.0,43,43,55,1,17
48789.0,94,23,680,0,28
82504.0,2,55,1066,0,18
60474.0,25,36,1180,1,21
49514.0,61,40,369,1,13
30545.0,71,36,69,1,27
62450.0,61,56,995,1,12
35797.0,16,40,68,1,27
86429.0,10,54,1449,0,14
35641.0,11,43,178,1,18
73113.0,86,55,1001,0,13
72354.0,67,22,1228,0,21
24401.0,98,36,467,0,29
52597.0,69,53,578,1,8
46086.0,34,59,343,1,14
25315.0,46,38,54,1,14
34935.0,71,23,137,0,19
26095.0,77,25,42,1,19
70503.0,73,62,1727,0,28
15315.0,27,45,64,0,17
87771.0,61,56,1957,1,20
36959.0,56,34,62,1,15
53863.0,4,60,473,1,8
73691.0,58,44,1179,1,14
18690.0,77,56,60,0,25
66731.0,33,45,1029,1,28
76618.0,64,40,1511,0,25
45160.0,9,57,21,2,10
80395.0,62,60,1380,0,14
31626.0,12,37,86,1,20
33622.0,22,43,81,2,21
6835.0,76,58,137,1,25
20587.0,39,45,25,1,8
40780.0,30,39,377,1,28
21359.0,1,43,48,1,21
49494.0,46,43,385,1,21
81702.0,98,35,1633,0,28
15072.0,96,35,53,2,20
30843.0,43,49,35,2,8
38683.0,80,26,341,1,27
58917.0,10,46,282,3,22
60554.0,8,40,811,1,17
46106.0,84,39,54,2,8
15716.0,8,27,92,1,26
80573.0,85,44,1564,0,27
32880.0,76,29,42,1,25
54603.0,85,59,227,2,18
79800.0,65,60,1867,0,28
72298.0,52,66,939,0,10
84574.0,72,63,1375,0,19
73059.0,36,68,1095,1,17
58330.0,87,40,1064,1,13
86857.0,96,43,2114,0,28
75012.0,41,39,1027,0,12
71163.0,30,20,960,0,10
58512.0,25,51,1171,1,16
45889.0,42,35,46,1,18
49980.0,79,52,195,1,15
86857.0,96,43,2114,0,28
81320.0,61,57,928,0,23
85072.0,94,38,1423,0,9
95529.0,29,21,1990,0,25
53103.0,70,61,1085,1,16
24884.0,32,43,19,1,26
34824.0,65,20,23,0,10
42691.0,48,24,358,0,17
43638.0,37,46,201,1,29
39548.0,87,52,54,2,10
71499.0,12,44,795,1,19
38443.0,58,47,38,2,12
72906.0,79,60,1151,0,16
45006.0,90,71,266,0,18
22574.0,28,48,37,3,15
13624.0,93,39,36,1,24
65488.0,46,57,963,0,7
50616.0,71,65,67,1,9
56253.0,83,52,597,1,25
21063.0,34,28,59,1,16
36145.0,13,30,172,1,19
26518.0,33,66,57,2,21
78901.0,99,42,734,1,16
71427.0,26,37,614,2,10
56962.0,60,50,411,3,15
45072.0,74,67,284,3,15
17003.0,37,40,38,1,13
63564.0,0,61,1215,0,12
40662.0,0,36,92,1,22
46984.0,71,59,41,2,22
48192.0,76,57,1526,0,21
78353.0,51,56,1576,1,21
49166.0,17,41,368,1,19
23228.0,71,46,40,1,12
82072.0,67,45,2018,0,18
42243.0,34,56,55,2,13
48948.0,53,72,902,0,23
45684.0,37,44,28,1,13
57937.0,56,33,683,1,11
39771.0,92,38,50,1,13
56962.0,60,50,411,3,15
35704.0,54,63,94,2,12
52845.0,7,42,936,1,17
35791.0,94,50,35,3,20
54162.0,31,37,42,2,22
67445.0,63,41,1174,1,29
65777.0,87,48,1146,0,13
90247.0,27,27,1621,0,9
50272.0,75,33,233,1,17
74806.0,1,50,965,1,25
38702.0,71,37,109,1,17
75127.0,92,63,833,0,8
48726.0,90,60,242,1,21
65968.0,12,45,495,1,8
56628.0,30,38,761,1,10
82347.0,38,58,1853,0,26
51195.0,46,53,564,2,21
55260.0,81,43,1139,1,25
78331.0,97,57,1638,1,12
21846.0,38,29,84,1,15
75114.0,40,23,1253,0,14
42607.0,30,61,350,1,14
83033.0,82,29,1761,1,8
32892.0,78,44,46,1,8
46779.0,55,55,23,2,18
33462.0,78,36,54,1,17
75759.0,46,46,2486,0,15
53653.0,29,62,1210,0,26
48920.0,93,51,347,2,15
44124.0,62,69,397,1,20
47352.0,70,64,319,1,21
84169.0,9,33,1919,0,17
24683.0,98,25,41,1,10
79908.0,30,33,1772,0,21
38593.0,42,37,177,1,16
18978.0,41,42,37,1,25
48240.0,73,46,882,0,26
34487.0,94,38,103,2,28
63381.0,78,55,1005,1,27
77632.0,73,68,2252,0,22
49431.0,9,60,365,1,29
59304.0,81,51,1048,1,18
26751.0,26,41,11,2,8
68743.0,81,48,2074,0,29
77845.0,40,26,1346,0,8
42315.0,90,57,270,1,18
78468.0,29,55,1004,0,9
58398.0,44,62,596,0,20
17487.0,37,26,18,1,22
64108.0,8,62,1099,1,22
83844.0,57,63,1574,0,20
33697.0,34,45,28,1,16
58330.0,87,40,1064,1,13
78939.0,57,64,1507,0,13
17144.0,96,55,47,2,11
25130.0,10,35,50,1,15
34176.0,12,27,89,1,8
81205.0,43,45,2009,0,12
65324.0,0,61,544,1,12
19485.0,80,29,10,2,16
31814.0,73,42,83,1,23
26868.0,52,24,14,1,9
79632.0,42,41,1113,0,9
71796.0,54,44,960,0,15
54753.0,87,56,728,1,16
82170.0,13,37,1908,0,14
42021.0,34,34,573,1,29
48330.0,2,54,32,1,14
64355.0,66,30,1445,1,29
60152.0,6,36,943,1,22
27203.0,92,65,64,2,29
50943.0,49,59,46,1,19
25545.0,35,28,210,1,28
47682.0,80,40,521,1,23
22944.0,67,34,76,1,13
24221.0,94,56,55,0,17
30081.0,27,54,42,1,23
45837.0,88,41,373,2,18
54456.0,23,54,404,1,18
26490.0,92,57,210,0,28
52614.0,63,40,990,1,25
68118.0,51,52,928,1,15
61209.0,73,45,957,0,17
33249.0,11,40,112,1,23
70545.0,29,63,334,1,7
79146.0,33,48,564,2,9
40760.0,64,50,93,1,17
82017.0,58,58,729,0,26
73926.0,54,42,1580,0,22
61872.0,81,45,573,1,13
22507.0,67,61,570,0,26
87771.0,61,56,1957,1,20
57906.0,29,42,401,1,19
42395.0,35,34,182,2,9
36627.0,78,40,16,2,18
64090.0,8,59,797,1,17
52278.0,24,52,1198,1,24
85683.0,6,61,1789,0,10
30630.0,67,50,52,2,12
50353.0,72,38,442,0,7
72679.0,65,46,1168,1,16
28567.0,57,33,46,1,19
85620.0,68,51,1600,0,12
66565.0,80,53,1065,1,25
51287.0,10,47,182,2,9
26850.0,10,44,63,2,9
39684.0,41,31,81,1,27
17459.0,12,40,69,1,16
26150.0,61,59,28,3,22
72635.0,54,60,981,0,19
84196.0,56,40,1237,1,19
32218.0,27,55,93,0,11
46102.0,3,53,16,3,10
78710.0,42,38,1092,1,8
14661.0,88,59,26,0,24
35682.0,34,45,57,1,7
67430.0,6,28,1364,0,28
42720.0,9,50,654,2,21
56850.0,83,44,63,1,10
26872.0,0,34,72,0,15
93404.0,97,61,1616,3,20
37859.0,75,53,36,3,24
55412.0,65,39,63,2,14
85710.0,5,26,1062,0,20
86424.0,12,59,1226,0,9
76630.0,93,32,1003,0,12
54137.0,46,45,203,1,17
39858.0,67,46,95,1,24
74116.0,53,33,2052,0,13
25443.0,82,26,32,1,25
41021.0,12,46,64,1,25
59052.0,29,56,491,1,14
73454.0,95,28,1651,0,10
54880.0,57,37,795,1,22
81741.0,75,35,1572,0,19
52157.0,48,65,265,1,7
92163.0,25,40,2086,0,25
59973.0,47,43,382,0,16
26877.0,74,46,268,0,17
36975.0,50,37,33,1,13
62859.0,37,56,1307,1,25
105471.0,36,45,1724,0,24
43185.0,88,64,637,1,21
25851.0,45,37,48,1,23
58710.0,77,45,1185,1,22
35946.0,24,66,11,2,16
80952.0,20,46,1757,0,23
62220.0,55,43,1226,1,29
16813.0,49,65,50,0,18
34838.0,62,64,170,2,24
70123.0,27,32,1727,0,16
42835.0,64,44,595,2,19
17117.0,96,37,128,1,24
47889.0,94,41,67,1,12
78420.0,75,49,1453,0,19
89120.0,78,56,1924,0,10
21474.0,0,26,91,1,9
62466.0,13,45,889,1,12
47472.0,39,49,75,2,16
40689.0,69,64,444,1,22
62807.0,83,55,819,1,29
19986.0,74,30,22,1,14
59247.0,87,53,574,2,14
65295.0,19,35,664,0,13
45938.0,46,54,636,0,14
71022.0,30,37,1453,1,11
66375.0,96,67,948,1,14
35178.0,10,44,59,1,24
55250.0,49,50,903,1,27
59111.0,90,61,869,0,20
72025.0,46,66,1677,0,9
63855.0,28,37,1006,0,23
78285.0,13,27,1427,0,15
62058.0,52,59,450,1,20
72063.0,3,36,758,1,18
70421.0,98,61,767,1,7
73170.0,1,40,726,0,8
71391.0,50,59,1043,1,22
55357.0,66,30,727,2,23
43456.0,0,49,393,1,22
34469.0,58,67,62,2,8
64950.0,29,64,966,1,29
56067.0,51,53,725,1,18
14906.0,86,29,66,0,25
59754.0,96,50,475,1,25
44010.0,46,35,662,1,27
64587.0,49,61,108,2,7
26091.0,84,58,89,2,11
39665.0,97,34,216,1,20
80184.0,19,71,1902,0,10
49154.0,69,55,411,2,14
57954.0,52,38,493,2,7
44931.0,0,48,96,1,12
76982.0,19,48,1062,0,11
27159.0,33,42,21,2,10
27450.0,57,64,143,0,21
49618.0,77,49,129,2,24
21888.0,15,29,213,1,25
69084.0,43,45,1586,1,14
69476.0,3,46,1044,0,16
50611.0,98,55,493,1,27
7500.0,19,39,71,1,29
46891.0,91,50,183,1,16
51124.0,79,60,43,2,13
46524.0,70,54,177,1,21
45183.0,33,53,315,0,24
30772.0,89,39,20,2,10
65685.0,54,43,769,1,10
76412.0,15,35,1808,0,20
40049.0,61,41,290,1,26
55284.0,60,59,764,1,25
46374.0,1,41,446,1,10
51390.0,54,50,353,2,28
57100.0,19,42,409,0,13
74637.0,73,61,1650,0,20
46015.0,25,60,46,2,9
51563.0,60,28,1250,0,27
67893.0,31,40,995,1,27
52190.0,39,39,77,2,8
40706.0,37,47,81,3,24
4861.0,20,50,6,0,7
57247.0,50,63,232,1,17
24279.0,6,25,263,0,25
61250.0,49,56,730,1,25
47850.0,72,35,134,1,13
29298.0,60,64,11,2,16
47691.0,43,36,21,1,18
13260.0,48,45,49,2,17
31089.0,57,34,79,1,29
42429.0,99,42,67,1,11
31632.0,92,44,95,0,18
70971.0,28,55,1825,1,28
63120.0,53,65,1477,1,28
61278.0,87,62,165,1,12
81300.0,17,52,1241,1,27
41039.0,32,33,467,0,18
61923.0,94,54,126,2,18
53593.0,60,62,480,2,29
62882.0,26,46,1338,1,29
48767.0,79,65,63,3,12
51518.0,92,57,449,1,15
20425.0,5,29,57,1,27
43783.0,22,37,629,1,8
60161.0,17,50,1071,1,27
52750.0,72,60,860,1,23
57091.0,0,54,577,0,7
61346.0,34,37,989,1,15
68092.0,7,37,1281,0,13
45921.0,23,29,199,0,10
77583.0,93,37,1149,0,11
74293.0,66,22,1127,0,8
67536.0,45,45,1829,1,20
27922.0,80,36,41,1,8
42767.0,53,44,131,2,20
54237.0,48,58,361,1,21
50183.0,47,35,231,2,7
64449.0,70,26,805,1,11
61839.0,20,51,1895,0,29
22419.0,74,52,162,0,21
42169.0,20,46,30,2,15
30522.0,6,55,326,1,29
28769.0,76,38,191,1,25
70337.0,75,36,576,0,12
87305.0,19,55,1152,0,28
75507.0,56,36,1440,0,8
38829.0,86,56,99,1,9
74250.0,90,57,1158,0,12
71466.0,86,41,1230,0,9
31590.0,40,43,38,1,19
42564.0,28,47,813,1,24
19329.0,39,47,60,1,13
